# http://fitlayout.github.io/resource/art28 -> https://www.imdb.com/title/tt2654620/fullcredits/
character=Jeff	name=Alex Soldatov	episodes=1 episode, 2014 	
character=Car Service Driver	name=Greg Lanzillotta	episodes=1 episode, 2014 	
character=Doris	name=Joan Massiah	episodes=1 episode, 2014 	
character=Jewish Prisoner 	name=James Patrick Pettitt	episodes=1 episode, 2014 	
character=Haily Barbour	name=Claire Robinson	episodes=1 episode, 2014 	
character=NYPD Officer 	name=Lachlan Murdoch	episodes=1 episode, 2015 	
character=Curfew Patrol Cop 	name=Trevor Hayes	episodes=1 episode, 2015 	
character=Stoneheart Security Agent 	name=Nick Alachiotis	episodes=1 episode, 2015 	
character=Councilman Andrew Bernstein	name=Alan Rosenthal	episodes=1 episode, 2015 	
character=Mr. Ortega	name=Juan Carlos Velis	episodes=1 episode, 2015 	
character=Bartender	name=Matt MacDonald	episodes=1 episode, 2015 	
character=Blind Kid 	name=Nicholas Hamzea	episodes=1 episode, 2015 	
character=Homeland Security Officer	name=Junior Williams	episodes=1 episode, 2015 	
character=Kenny Ford 	name=Ronnie Rowe	episodes=1 episode, 2016 	
character=Navy Seal	name=Ronnie Rowe	episodes=1 episode, 2016 	
character=Ricci	name=Brian J. Graham	episodes=1 episode, 2017 	
character=Sailor 	name=Brook Jones	episodes=1 episode, 2017 	
character=Frontier Woman Raider	name=Jessica Reynolds	episodes=1 episode, 2017 	
character=Dr. Box	name=Neil Crone	episodes=1 episode, 2014 	
character=Germaine	name=Jean Pearson	episodes=1 episode, 2014 	
character=NTSB Investigator	name=Simon D. Scott	episodes=1 episode, 2014 	
character=Weatherman	name=Jeff Elliot	episodes=1 episode, 2014 	
character=NY1 Anchor	name=Tara Lynn Wagner	episodes=1 episode, 2014 	
character=Parking Attendant	name=Tino Demitro	episodes=1 episode, 2014 	
character=Ancient	name=Josh Horvath	episodes=1 episode, 2015 	
character=Victim	name=Josh Horvath	episodes=1 episode, 2015 	
character=Transportation Officer	name=Danny Waugh	episodes=1 episode, 2015 	
character=Stoneheart Guard 	name=David Christo	episodes=1 episode, 2015 	
character=Stoneheart Security Agent 	name=Christopher Di Meo	episodes=1 episode, 2015 	
character=Cop	name=Don W. Shepherd	episodes=1 episode, 2015 	
character=Deedee	name=Rhea Akler	episodes=1 episode, 2015 	
character=Alannah	name=Sabryn Rock	episodes=1 episode, 2017 	
character=Doctor Himoff	name=Jordan Pettle	episodes=1 episode, 2017 	
character=Vince	name=Bo Manning	episodes=1 episode, 2017 	
character=Misdemeanor Judge	name=Craig Gardner	episodes=1 episode, 2014 	
character=Assailant	name=Jerry Rector	episodes=1 episode, 2015 	
character=Dr. Arley	name=Michael Gordin Shore	episodes=1 episode, 2015 	
character=Stoneheart Guard 	name=Justin Landry	episodes=1 episode, 2015 	
character=Sick Wife	name=Tara Koehler	episodes=1 episode, 2015 	
character=Stoneheart Security Agent 	name=Brian Jagersky	episodes=1 episode, 2015 	
character=Man 	name=John Marcucci	episodes=1 episode, 2015 	
character=Sardu	name=John Marcucci	episodes=1 episode, 2015 	
character=Grandmother	name=Amanda Smith	episodes=1 episode, 2016 	
character=Shifty Guy	name=Aidan Moreno	episodes=1 episode, 2017 	
character=Prepper	name=Darryl Scheelar	episodes=1 episode, 2017 	
character=Cleo	name=Jacqueline Byers	episodes=1 episode, 2014 	
character=Dr. Evanston	name=Tara Spencer-Nairn	episodes=1 episode, 2014 	
character=Family Court Judge	name=Deborah Grover	episodes=1 episode, 2014 	
character=Rose - Flight Attendant	name=Karen Glave	episodes=1 episode, 2014 	
